RouteId,RouteNo,TimeTableId,TripId,StartTime,EndTime
1,01,1,2,05:00,05:40
1,01,1,3,05:15,05:55
1,01,1,4,05:30,06:10
1,01,1,5,05:45,06:25
1,01,1,6,05:55,06:35
1,01,1,7,06:05,06:45
1,01,1,8,06:15,06:55
1,01,1,9,06:23,07:03
1,01,1,10,06:31,07:11
1,01,1,11,06:39,07:19
1,01,1,12,06:47,07:27
1,01,1,13,06:55,07:35
1,01,1,14,07:03,07:43
1,01,1,15,07:11,07:51
1,01,1,16,07:19,07:59
1,01,1,17,07:27,08:07
1,01,1,18,07:35,08:15
1,01,1,19,07:43,08:23
1,01,1,20,07:51,08:31
1,01,1,21,07:59,08:39
1,01,1,22,08:07,08:47
1,01,1,23,08:15,08:55
1,01,1,24,08:23,09:03
1,01,1,25,08:31,09:11
1,01,1,26,08:39,09:19
1,01,1,27,08:47,09:27
1,01,1,28,08:55,09:35
1,01,1,29,09:03,09:43
1,01,1,30,09:11,09:51
1,01,1,31,09:21,10:01
1,01,1,32,09:31,10:11
1,01,1,33,09:41,10:21
1,01,1,34,09:51,10:31
1,01,1,35,10:01,10:41
1,01,1,36,10:09,10:49
1,01,1,37,10:17,10:57
1,01,1,38,10:25,11:05
1,01,1,39,10:33,11:13
1,01,1,40,10:41,11:21
1,01,1,41,10:49,11:29
1,01,1,42,10:57,11:37
1,01,1,43,11:05,11:45
1,01,1,44,11:13,11:53
1,01,1,45,11:21,12:01
1,01,1,46,11:29,12:09
1,01,1,47,11:37,12:17
1,01,1,48,11:45,12:25
1,01,1,49,11:53,12:33
1,01,1,50,12:01,12:41
1,01,1,51,12:09,12:49
1,01,1,52,12:19,12:59
1,01,1,53,12:29,13:09
1,01,1,54,12:39,13:19
1,01,1,55,12:49,13:29
1,01,1,56,12:59,13:39
1,01,1,57,13:09,13:49
1,01,1,58,13:19,13:59
1,01,1,59,13:29,14:09
1,01,1,60,13:39,14:19
1,01,1,61,13:49,14:29
1,01,1,62,13:59,14:39
1,01,1,63,14:09,14:49
1,01,1,64,14:19,14:59
1,01,1,65,14:29,15:09
1,01,1,66,14:39,15:19
1,01,1,67,14:47,15:27
1,01,1,68,14:55,15:35
1,01,1,69,15:03,15:43
1,01,1,70,15:11,15:51
1,01,1,71,15:19,15:59
1,01,1,72,15:27,16:07
1,01,1,73,15:35,16:15
1,01,1,74,15:43,16:23
1,01,1,75,15:51,16:31
1,01,1,76,15:59,16:39
1,01,1,77,16:07,16:47
1,01,1,78,16:15,16:55
1,01,1,79,16:23,17:03
1,01,1,80,16:31,17:11
1,01,1,81,16:39,17:19
1,01,1,82,16:47,17:27
1,01,1,83,16:55,17:35
1,01,1,84,17:03,17:43
1,01,1,85,17:11,17:51
1,01,1,86,17:19,17:59
1,01,1,87,17:27,18:07
1,01,1,88,17:35,18:15
1,01,1,89,17:43,18:23
1,01,1,90,17:51,18:31
1,01,1,91,17:59,18:39
1,01,1,92,18:07,18:47
1,01,1,93,18:15,18:55
1,01,1,94,18:25,19:05
1,01,1,95,18:35,19:15
1,01,1,96,18:45,19:25
1,01,1,97,18:55,19:35
1,01,1,98,19:05,19:45
1,01,1,99,19:15,19:55
1,01,1,100,19:30,20:10
1,01,1,101,19:45,20:25
1,01,1,102,20:00,20:40
1,01,1,103,20:15,20:55
1,01,1,104,20:30,21:10
1,01,1,105,20:45,21:25
1,01,1,106,21:00,21:40
1,01,1,107,21:20,22:00
1,01,1,108,21:40,22:20
1,01,1,109,22:00,22:40
1,01,2,110,05:00,05:40
1,01,2,111,05:15,05:55
1,01,2,112,05:30,06:10
1,01,2,113,05:45,06:25
1,01,2,114,05:55,06:35
1,01,2,115,06:05,06:45
1,01,2,116,06:15,06:55
1,01,2,117,06:23,07:03
1,01,2,118,06:31,07:11
1,01,2,119,06:39,07:19
1,01,2,120,06:47,07:27
1,01,2,121,06:55,07:35
1,01,2,122,07:03,07:43
1,01,2,123,07:11,07:51
1,01,2,124,07:19,07:59
1,01,2,125,07:27,08:07
1,01,2,126,07:35,08:15
1,01,2,127,07:43,08:23
1,01,2,128,07:51,08:31
1,01,2,129,07:59,08:39
1,01,2,130,08:07,08:47
1,01,2,131,08:15,08:55
1,01,2,132,08:23,09:03
1,01,2,133,08:31,09:11
1,01,2,134,08:39,09:19
1,01,2,135,08:47,09:27
1,01,2,136,08:55,09:35
1,01,2,137,09:03,09:43
1,01,2,138,09:11,09:51
1,01,2,139,09:21,10:01
1,01,2,140,09:31,10:11
1,01,2,141,09:41,10:21
1,01,2,142,09:51,10:31
1,01,2,143,10:01,10:41
1,01,2,144,10:09,10:49
1,01,2,145,10:17,10:57
1,01,2,146,10:25,11:05
1,01,2,147,10:33,11:13
1,01,2,148,10:41,11:21
1,01,2,149,10:49,11:29
1,01,2,150,10:57,11:37
1,01,2,151,11:05,11:45
1,01,2,152,11:13,11:53
1,01,2,153,11:21,12:01
1,01,2,154,11:29,12:09
1,01,2,155,11:37,12:17
1,01,2,156,11:45,12:25
1,01,2,157,11:53,12:33
1,01,2,158,12:01,12:41
1,01,2,159,12:09,12:49
1,01,2,160,12:19,12:59
1,01,2,161,12:29,13:09
1,01,2,162,12:39,13:19
1,01,2,163,12:49,13:29
1,01,2,164,12:59,13:39
1,01,2,165,13:09,13:49
1,01,2,166,13:19,13:59
1,01,2,167,13:29,14:09
1,01,2,168,13:39,14:19
1,01,2,169,13:49,14:29
1,01,2,170,13:59,14:39
1,01,2,171,14:09,14:49
1,01,2,172,14:19,14:59
1,01,2,173,14:29,15:09
1,01,2,174,14:39,15:19
1,01,2,175,14:47,15:27
1,01,2,176,14:55,15:35
1,01,2,177,15:03,15:43
1,01,2,178,15:11,15:51
1,01,2,179,15:19,15:59
1,01,2,180,15:27,16:07
1,01,2,181,15:35,16:15
1,01,2,182,15:43,16:23
1,01,2,183,15:51,16:31
1,01,2,184,15:59,16:39
1,01,2,185,16:07,16:47
1,01,2,186,16:15,16:55
1,01,2,187,16:23,17:03
1,01,2,188,16:31,17:11
1,01,2,189,16:39,17:19
1,01,2,190,16:47,17:27
1,01,2,191,16:55,17:35
1,01,2,192,17:03,17:43
1,01,2,193,17:11,17:51
1,01,2,194,17:19,17:59
1,01,2,195,17:27,18:07
1,01,2,196,17:35,18:15
1,01,2,197,17:43,18:23
1,01,2,198,17:51,18:31
1,01,2,199,17:59,18:39
1,01,2,200,18:07,18:47
1,01,2,201,18:15,18:55
1,01,2,202,18:25,19:05
1,01,2,203,18:35,19:15
1,01,2,204,18:45,19:25
1,01,2,205,18:55,19:35
1,01,2,206,19:05,19:45
1,01,2,207,19:15,19:55
1,01,2,208,19:30,20:10
1,01,2,209,19:45,20:25
1,01,2,210,20:00,20:40
1,01,2,211,20:15,20:55
1,01,2,212,20:30,21:10
1,01,2,213,20:45,21:25
1,01,2,214,21:00,21:40
1,01,2,215,21:20,22:00
1,01,2,216,21:40,22:20
1,01,2,217,22:00,22:40
178,127,29,3039,05:00,05:40
178,127,29,3040,05:10,05:50
178,127,29,3041,05:20,06:00
178,127,29,3042,05:28,06:08
178,127,29,3043,05:36,06:16
178,127,29,3044,05:44,06:24
178,127,29,3045,05:52,06:32
178,127,29,3046,06:00,06:40
178,127,29,3047,06:10,06:50
178,127,29,3048,06:20,07:00
178,127,29,3049,06:30,07:10
178,127,29,3050,06:40,07:20
178,127,29,3051,06:50,07:30
178,127,29,3052,07:00,07:40
178,127,29,3053,07:30,08:10
178,127,29,3054,08:00,08:40
178,127,29,3055,08:30,09:10
178,127,29,3056,09:00,09:40
178,127,29,3057,09:30,10:10
178,127,29,3058,10:00,10:40
178,127,29,3059,10:08,10:48
178,127,29,3060,10:16,10:56
178,127,29,3061,10:24,11:04
178,127,29,3062,10:32,11:12
178,127,29,3063,10:40,11:20
178,127,29,3064,10:48,11:28
178,127,29,3065,10:56,11:36
178,127,29,3066,11:04,11:44
178,127,29,3067,11:12,11:52
178,127,29,3068,11:20,12:00
178,127,29,3069,11:28,12:08
178,127,29,3070,11:36,12:16
178,127,29,3071,11:44,12:24
178,127,29,3072,11:52,12:32
178,127,29,3073,12:00,12:40
178,127,29,3074,12:30,13:10
178,127,29,3075,13:00,13:40
178,127,29,3076,13:30,14:10
178,127,29,3077,14:00,14:40
178,127,29,3078,14:30,15:10
178,127,29,3079,15:00,15:40
178,127,29,3080,15:15,15:55
178,127,29,3081,15:30,16:10
178,127,29,3082,15:45,16:25
178,127,29,3083,16:00,16:40
178,127,29,3084,16:10,16:50
178,127,29,3085,16:20,17:00
178,127,29,3086,16:30,17:10
178,127,29,3087,16:40,17:20
178,127,29,3088,16:50,17:30
178,127,29,3089,17:00,17:40
178,127,29,3090,17:10,17:50
178,127,29,3091,17:20,18:00
178,127,29,3092,17:30,18:10
178,127,29,3093,17:45,18:25
178,127,29,3094,18:00,18:40
178,127,29,3095,18:30,19:10
178,127,29,3096,19:00,19:40
178,127,29,3097,19:30,20:10
178,127,29,3098,20:00,20:40
178,127,30,3099,05:00,05:40
178,127,30,3100,05:10,05:50
178,127,30,3101,05:20,06:00
178,127,30,3102,05:28,06:08
178,127,30,3103,05:36,06:16
178,127,30,3104,05:44,06:24
178,127,30,3105,05:52,06:32
178,127,30,3106,06:00,06:40
178,127,30,3107,06:10,06:50
178,127,30,3108,06:20,07:00
178,127,30,3109,06:30,07:10
178,127,30,3110,06:40,07:20
178,127,30,3111,06:50,07:30
178,127,30,3112,07:00,07:40
